Mamu-A1_002_02-exon
Mamu-A1_003_03-exon
Mamu-A1_003_09-exon
Mamu-A1_003_10-exon
Mamu-A1_003_18-exon
Mamu-A1_004_03-exon
Mamu-A1_004_04-exon
Mamu-A1_004_06-exon
Mamu-A1_004_08-exon
Mamu-A1_006_01-exon
Mamu-A1_007_02-exon
Mamu-A1_007_05-exon
Mamu-A1_008_04-exon
Mamu-A1_008_05-exon
Mamu-A1_009_01-exon
Mamu-A1_010_02-exon
Mamu-A1_010_03-exon
Mamu-A1_011_02-exon
Mamu-A1_012_02-exon
Mamu-A1_018_04-exon
Mamu-A1_018_07-exon
Mamu-A1_018_13-exon
Mamu-A1_022_03-exon
Mamu-A1_022_05-exon
Mamu-A1_022_06-exon
Mamu-A1_023_02-exon
Mamu-A1_025_02_01-exon
Mamu-A1_026_02_01-exon
Mamu-A1_027_01-exon
Mamu-A1_028_02-exon
Mamu-A1_028_04_01-exon
Mamu-A1_028_06-exon
Mamu-A1_032_02-exon
Mamu-A1_032_03-exon
Mamu-A1_033_01-exon
Mamu-A1_040_01-exon
Mamu-A1_040_02-exon
Mamu-A1_041_02_02-exon
Mamu-A1_042_01-exon
Mamu-A1_043_01-exon
Mamu-A1_043_04-exon
Mamu-A1_043_06-exon
Mamu-A1_043_07-exon
Mamu-A1_045_01-exon
Mamu-A1_049_01-exon
Mamu-A1_049_04-exon
Mamu-A1_050_01-exon
Mamu-A1_054_01-exon
Mamu-A1_054_02-exon
Mamu-A1_054_03-exon
Mamu-A1_056_01-exon
Mamu-A1_056_03-exon
Mamu-A1_057_02-exon
Mamu-A1_057_03-exon
Mamu-A1_057_06-exon
Mamu-A1_059_01-exon
Mamu-A1_060_01-exon
Mamu-A1_061_01-exon
Mamu-A1_063_01_01-exon
Mamu-A1_063_01_02-exon
Mamu-A1_065_03-exon
Mamu-A1_066_01-exon
Mamu-A1_073_01-exon
Mamu-A1_074_04-exon
Mamu-A1_074_05-exon
Mamu-A1_074_06-exon
Mamu-A1_081_01-exon
Mamu-A1_085_01-exon
Mamu-A1_085_04-exon
Mamu-A1_090_01-exon
Mamu-A1_091_01-exon
Mamu-A1_092_01-exon
Mamu-A1_092_02-exon
Mamu-A1_095_01-exon
Mamu-A1_105_01-exon
Mamu-A1_105_02-exon
Mamu-A1_105_04-exon
Mamu-A1_107_01-exon
Mamu-A1_108_01-exon
Mamu-A1_109_01-exon
Mamu-A1_110_01-exon
Mamu-A1_111_01-exon
Mamu-A1_112_01-exon
Mamu-A1_118_01-exon
Mamu-A1_121_01-exon
Mamu-A1_122_01-exon
Mamu-A1_123_02-exon
Mamu-A1_130_01-exon
Mamu-A2_01_02_01-exon
Mamu-A2_05_25-exon
Mamu-A2_05_26-exon
Mamu-A2_05_32_01-exon
Mamu-A2_05_41-exon
Mamu-A2_05_44-exon
Mamu-A2_05_45-exon
Mamu-A2_05_53-exon
Mamu-A2_24_02-exon
Mamu-A2_24_04-exon
Mamu-A3_13_04-exon
Mamu-A3_13_05-exon
Mamu-A3_13_07-exon
Mamu-A3_13_12-exon
Mamu-A3_13_13-exon
Mamu-A4_01_03-exon
Mamu-A4_14_02-exon
Mamu-A4_14_11-exon
Mamu-A4_14_12-exon
Mamu-A4_14_16-exon
Mamu-A5_30_01_02-exon
Mamu-A5_30_02_01-exon
Mamu-A5_30_04_02-exon
Mamu-A5_30_04_03-exon
Mamu-A5_30_05-exon
Mamu-A6_01_06-exon
Mamu-A7_01_01-exon
Mamu-A7_02_01-exon
Mamu-AG2_01_01-exon
Mamu-AG3_03_03-exon
Mamu-AG3_03_04-exon
Mamu-B02Ps_01_01-exon
Mamu-B02Ps_01_02-exon
Mamu-B11L_01_01_01-exon
Mamu-B11L_01_01_02-exon
Mamu-B11L_01_03-exon
Mamu-B11L_01_08-exon
Mamu-B11L_01_09-exon
Mamu-B11L_01_12-exon
Mamu-B16_01_01-exon
Mamu-B16_01_02-exon
Mamu-B16_01_06-exon
Mamu-B16_01_10-exon
Mamu-B17_01_01_04-exon
Mamu-B17_01_06_02-exon
Mamu-B17_01_07_02-exon
Mamu-B17_01_09-exon
Mamu-B_001_07-exon
Mamu-B_002_02-exon
Mamu-B_002_03-exon
Mamu-B_007_04_02-exon
Mamu-B_011_01-exon
Mamu-B_011_02-exon
Mamu-B_012_02-exon
Mamu-B_013_02-exon
Mamu-B_017_02_02-exon
Mamu-B_017_04-exon
Mamu-B_017_06-exon
Mamu-B_017_07-exon
Mamu-B_018_01-exon
Mamu-B_019_02-exon
Mamu-B_019_05-exon
Mamu-B_019_08-exon
Mamu-B_021_02-exon
Mamu-B_021_03-exon
Mamu-B_027_02-exon
Mamu-B_028_02_01-exon
Mamu-B_028_03-exon
Mamu-B_028_04-exon
Mamu-B_029_03-exon
Mamu-B_032_01-exon
Mamu-B_034_03-exon
Mamu-B_034_04-exon
Mamu-B_035_02-exon
Mamu-B_039_02-exon
Mamu-B_044_08-exon
Mamu-B_045_01-exon
Mamu-B_045_05-exon
Mamu-B_045_06-exon
Mamu-B_045_07-exon
Mamu-B_046_03_02-exon
Mamu-B_046_07-exon
Mamu-B_046_12-exon
Mamu-B_046_21-exon
Mamu-B_047_02-exon
Mamu-B_047_03-exon
Mamu-B_047_04-exon
Mamu-B_048_02-exon
Mamu-B_048_04-exon
Mamu-B_051_06-exon
Mamu-B_051_07-exon
Mamu-B_051_08-exon
Mamu-B_051_11-exon
Mamu-B_051_12-exon
Mamu-B_051_13-exon
Mamu-B_051_18-exon
Mamu-B_051_19-exon
Mamu-B_051_24-exon
Mamu-B_053_01-exon
Mamu-B_054_02-exon
Mamu-B_054_04-exon
Mamu-B_056_06-exon
Mamu-B_057_02-exon
Mamu-B_060_06-exon
Mamu-B_060_10_01-exon
Mamu-B_060_16-exon
Mamu-B_061_03-exon
Mamu-B_062_01-exon
Mamu-B_063_02_01-exon
Mamu-B_063_02_02-exon
Mamu-B_063_04-exon
Mamu-B_064_02-exon
Mamu-B_069_02-exon
Mamu-B_069_05-exon
Mamu-B_069_06-exon
Mamu-B_069_08-exon
Mamu-B_070_06-exon
Mamu-B_072_03-exon
Mamu-B_072_07-exon
Mamu-B_082_04-exon
Mamu-B_082_06_01-exon
Mamu-B_082_06_02-exon
Mamu-B_082_08-exon
Mamu-B_082_09-exon
Mamu-B_082_10-exon
Mamu-B_083_02-exon
Mamu-B_084_01-exon
Mamu-B_085_01-exon
Mamu-B_085_03-exon
Mamu-B_085_04-exon
Mamu-B_088_03-exon
Mamu-B_088_04-exon
Mamu-B_090_02_01-exon
Mamu-B_091_01-exon
Mamu-B_091_03-exon
Mamu-B_095_03-exon
Mamu-B_098_03-exon
Mamu-B_098_04-exon
Mamu-B_098_05-exon
Mamu-B_098_07-exon
Mamu-B_098_14-exon
Mamu-B_099_01-exon
Mamu-B_100_01-exon
Mamu-B_101_01-exon
Mamu-B_101_02-exon
Mamu-B_101_03-exon
Mamu-B_101_04-exon
Mamu-B_101_06_01-exon
Mamu-B_102_01-exon
Mamu-B_105_01-exon
Mamu-B_106_02-exon
Mamu-B_109_05-exon
Mamu-B_134_01-exon
Mamu-B_134_05-exon
Mamu-B_139_01-exon
Mamu-B_145_01-exon
Mamu-B_146_01-exon
Mamu-B_147_01-exon
Mamu-B_150_01-exon
Mamu-B_155_01-exon
Mamu-B_164_01-exon
Mamu-B_187_02-exon
Mamu-B_188_01-exon
Mamu-B_189_01-exon
Mamu-B_204_01-exon
Mamu-B_204_02-exon
Mamu-DPA1_02_01-exon
Mamu-DPA1_02_02_01-exon
Mamu-DPA1_02_03-exon
Mamu-DPA1_02_04-exon
Mamu-DPA1_02_07_01-exon
Mamu-DPA1_02_08-exon
Mamu-DPA1_02_09-exon
Mamu-DPA1_02_10-exon
Mamu-DPA1_02_11-exon
Mamu-DPA1_02_12-exon
Mamu-DPA1_02_13-exon
Mamu-DPA1_02_14-exon
Mamu-DPA1_02_15-exon
Mamu-DPA1_02_16-exon
Mamu-DPA1_02_18-exon
Mamu-DPA1_02_19-exon
Mamu-DPA1_02_20-exon
Mamu-DPA1_04_01-exon
Mamu-DPA1_04_02-exon
Mamu-DPA1_04_03_01-exon
Mamu-DPA1_04_04-exon
Mamu-DPA1_04_06-exon
Mamu-DPA1_06_01_01-exon
Mamu-DPA1_06_01_02-exon
Mamu-DPA1_06_02-exon
Mamu-DPA1_07_01-exon
Mamu-DPA1_07_02-exon
Mamu-DPA1_07_03-exon
Mamu-DPA1_07_04-exon
Mamu-DPA1_07_05-exon
Mamu-DPA1_07_06-exon
Mamu-DPA1_07_08-exon
Mamu-DPA1_07_09-exon
Mamu-DPA1_07_10-exon
Mamu-DPA1_08_01-exon
Mamu-DPA1_09_01-exon
Mamu-DPA1_10_01-exon
Mamu-DPA1_11_01-exon
Mamu-DPB1_01_01-exon
Mamu-DPB1_01_02-exon
Mamu-DPB1_01_03-exon
Mamu-DPB1_01_04-exon
Mamu-DPB1_01_05-exon
Mamu-DPB1_01_06-exon
Mamu-DPB1_01_07-exon
Mamu-DPB1_01_09-exon
Mamu-DPB1_01_10-exon
Mamu-DPB1_01_12-exon
Mamu-DPB1_01_14-exon
Mamu-DPB1_01_16-exon
Mamu-DPB1_02_01-exon
Mamu-DPB1_02_02-exon
Mamu-DPB1_02_03-exon
Mamu-DPB1_03_01-exon
Mamu-DPB1_03_02-exon
Mamu-DPB1_03_03-exon
Mamu-DPB1_04_01-exon
Mamu-DPB1_05_01-exon
Mamu-DPB1_05_02-exon
Mamu-DPB1_06_02-exon
Mamu-DPB1_06_03-exon
Mamu-DPB1_06_04-exon
Mamu-DPB1_07_01-exon
Mamu-DPB1_07_02_01-exon
Mamu-DPB1_07_03_01-exon
Mamu-DPB1_07_03_02-exon
Mamu-DPB1_07_04-exon
Mamu-DPB1_07_05-exon
Mamu-DPB1_07_06-exon
Mamu-DPB1_07_07-exon
Mamu-DPB1_07_08-exon
Mamu-DPB1_08_01-exon
Mamu-DPB1_08_02-exon
Mamu-DPB1_11_01-exon
Mamu-DPB1_14_01-exon
Mamu-DPB1_16_01-exon
Mamu-DPB1_17_01-exon
Mamu-DPB1_18_01-exon
Mamu-DPB1_19_01_01-exon
Mamu-DPB1_19_02-exon
Mamu-DPB1_19_04-exon
Mamu-DPB1_19_05-exon
Mamu-DPB1_19_06-exon
Mamu-DPB1_21_01-exon
Mamu-DPB1_21_02-exon
Mamu-DPB1_21_03-exon
Mamu-DPB1_22_01-exon
Mamu-DPB1_23_01-exon
Mamu-DPB1_23_02-exon
Mamu-DPB1_24_01-exon
Mamu-DQA1_01_02-exon
Mamu-DQA1_01_04_01-exon
Mamu-DQA1_01_04_02-exon
Mamu-DQA1_01_05_01-exon
Mamu-DQA1_01_06-exon
Mamu-DQA1_01_07-exon
Mamu-DQA1_01_08-exon
Mamu-DQA1_01_09-exon
Mamu-DQA1_01_12-exon
Mamu-DQA1_05_01-exon
Mamu-DQA1_05_02-exon
Mamu-DQA1_05_03-exon
Mamu-DQA1_05_04-exon
Mamu-DQA1_05_05-exon
Mamu-DQA1_05_06-exon
Mamu-DQA1_05_07-exon
Mamu-DQA1_23_01-exon
Mamu-DQA1_23_02-exon
Mamu-DQA1_23_03-exon
Mamu-DQA1_24_01_01-exon
Mamu-DQA1_24_02-exon
Mamu-DQA1_24_03-exon
Mamu-DQA1_24_04-exon
Mamu-DQA1_24_05-exon
Mamu-DQA1_24_07-exon
Mamu-DQA1_24_08-exon
Mamu-DQA1_24_09-exon
Mamu-DQA1_24_10-exon
Mamu-DQA1_26_01-exon
Mamu-DQA1_26_02_01-exon
Mamu-DQA1_26_03-exon
Mamu-DQA1_26_04-exon
Mamu-DQA1_26_05-exon
Mamu-DQA1_26_07-exon
Mamu-DQB1_06_01-exon
Mamu-DQB1_06_02_01-exon
Mamu-DQB1_06_02_02-exon
Mamu-DQB1_06_02_03-exon
Mamu-DQB1_06_05-exon
Mamu-DQB1_06_06_01-exon
Mamu-DQB1_06_07-exon
Mamu-DQB1_06_08-exon
Mamu-DQB1_06_09-exon
Mamu-DQB1_06_10-exon
