animal_id,gs_id
AG07107,103118
N629,103119
N143,103120
DL6B,103121
L393,103122
H702,103123
N541,102303
H98X,103125
N542,103126
N543,103127
HAXD,103128
P521,103129
DJ5P,103130
N606,103131
DN7L,103132
L508,103133
M707,103134
M744,103135
M746,103136
M747,103137
N192,103138
N195,103139
N530,103140
M761,103141
M781,103142
L521,103143
L522,103144
M778,103145
N546,103146
N547,103147
M795,103148
M797,103149
M798,103150
r97070,103151
rh1990,103152
r02072,103153
